Unnamed: 0	User ID	Date Created	Number of Likes	Source of Tweet	Tweet	Cleaned Tweet
0		2024-12-31 07:01:58+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
1		2024-12-31 07:01:31+00:00	0		RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory.	RT  Congrats to Argentina and to the GOAT Lionel Messi for an amazing World Cup victory
2		2024-12-31 07:01:10+00:00	0		"Happy 83rd Birthday to the Legendary Sir Alex Ferguson! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

13 Premier League titles
10 English Super Cups
5 FA Cups
4 League Cups
4 Scottish Cups
3 Scottish Championships
2 Champions Leagues
2 UEFA Super Cups
1 Scottish League Cup
1 Intercontinental Cup
1 Club World Cup https://t.co/1Ho6EUyFYa"	"Happy 83rd Birthday to the Legendary Sir Alex Ferguson 

13 Premier League titles
10 English Super Cups
5 FA Cups
4 League Cups
4 Scottish Cups
3 Scottish Championships
2 Champions Leagues
2 UEFA Super Cups
1 Scottish League Cup
1 Intercontinental Cup
1 Club World Cup"
3		2024-12-31 06:59:17+00:00	0		"RT @Pun_Starr: Anyone who can answer these 3 questions correctly will get ₹15 lakh in 2025.

1. In which country is the Great Wall of China…"	"RT  Anyone who can answer these 3 questions correctly will get 15 lakh in 2025

1 In which country is the Great Wall of China"
4		2024-12-31 06:58:37+00:00	0		"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"	"RT  Happy birthday to the one and only Sir Alex Ferguson who turns 83 today 

 Premier League 13
 Champions"
5		2024-12-31 06:58:37+00:00	0		"RT @MadridUniversal: Winning the Club World Cup is one of Real Madrid's priority this season.

They see the tournament as a great opportuni…"	"RT  Winning the Club World Cup is one of Real Madrids priority this season

They see the tournament as a great opportuni"
6		2024-12-31 06:58:20+00:00	0		RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory.	RT  Congrats to Argentina and to the GOAT Lionel Messi for an amazing World Cup victory
7		2024-12-31 06:58:14+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
8		2024-12-31 06:57:32+00:00	0		RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory.	RT  Congrats to Argentina and to the GOAT Lionel Messi for an amazing World Cup victory
9		2024-12-31 06:57:12+00:00	0		"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"	"RT  Happy Birthday to Sir Alex Ferguson who turns 83 today 

 13 Premier League titles
 2 Champions League titles
 5"
