,User ID,Date Created,Number of Likes,Source of Tweet,Tweet
0,,2024-12-31 07:01:58+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
1,,2024-12-31 07:01:31+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
2,,2024-12-31 07:01:10+00:00,0,,"Happy 83rd Birthday to the Legendary Sir Alex Ferguson! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

13 Premier League titles
10 English Super Cups
5 FA Cups
4 League Cups
4 Scottish Cups
3 Scottish Championships
2 Champions Leagues
2 UEFA Super Cups
1 Scottish League Cup
1 Intercontinental Cup
1 Club World Cup https://t.co/1Ho6EUyFYa"
3,,2024-12-31 06:59:17+00:00,0,,"RT @Pun_Starr: Anyone who can answer these 3 questions correctly will get ₹15 lakh in 2025.

1. In which country is the Great Wall of China…"
4,,2024-12-31 06:58:37+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
5,,2024-12-31 06:58:37+00:00,0,,"RT @MadridUniversal: Winning the Club World Cup is one of Real Madrid's priority this season.

They see the tournament as a great opportuni…"
6,,2024-12-31 06:58:20+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
7,,2024-12-31 06:58:14+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
8,,2024-12-31 06:57:32+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
9,,2024-12-31 06:57:12+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
10,,2024-12-31 06:57:00+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
11,,2024-12-31 06:56:59+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
12,,2024-12-31 06:56:47+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
13,,2024-12-31 06:56:26+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
14,,2024-12-31 06:56:04+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
15,,2024-12-31 06:55:58+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
16,,2024-12-31 06:55:33+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
17,,2024-12-31 06:55:05+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
18,,2024-12-31 06:54:47+00:00,0,,"RT @TheRealPCB: Happy birthday @SyedaAroob 🎂

She has so far featured in 17 matches for the Pakistan women's team. She captained Pakistan i…"
19,,2024-12-31 06:54:45+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
20,,2024-12-31 06:54:30+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
21,,2024-12-31 06:53:42+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
22,,2024-12-31 06:53:00+00:00,0,,"RT @TheBarmyArmy: - 12,972 runs in Tests
- Most runs for England in Tests
- 36 Test hundreds
- 50.87 Average in Tests
- 6,522 runs in ODIs…"
23,,2024-12-31 06:52:58+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
24,,2024-12-31 06:52:31+00:00,0,,"@nuskita_love 🌟KINGS WORLD CUP
🏁FECHA : 02 de ENERO
🇵🇪PERU VS ALEMANIA 🇩🇪
🕰️HORA: 1:00 PM
🟩KICK : ElZeein https://t.co/xFuQmZNGLn"
25,,2024-12-31 06:52:03+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
26,,2024-12-31 06:51:08+00:00,0,,"@nuskita_love 🌟KINGS WORLD CUP
🏁FECHA : 02 de ENERO
🇵🇪PERU VS ALEMANIA 🇩🇪
🕰️HORA: 1:00 PM
🟩KICK : ElZeein https://t.co/hlNuUmu0UR"
27,,2024-12-31 06:51:02+00:00,0,,"@nuskita_love 🌟KINGS WORLD CUP
🏁FECHA : 02 de ENERO
🇵🇪PERU VS ALEMANIA 🇩🇪
🕰️HORA: 1:00 PM
🟩KICK : ElZeein https://t.co/UK9IF3OhAw"
28,,2024-12-31 06:51:01+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
29,,2024-12-31 06:50:54+00:00,0,,"RT @ArashMarkazi: What an amazing three-month run it has been in Los Angeles pro sports:

- Sept. 29: Dodgers win NL West
- Oct. 11: Dodger…"
30,,2024-12-31 06:50:46+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
31,,2024-12-31 06:50:36+00:00,0,,"@nuskita_love 🌟KINGS WORLD CUP
🏁FECHA : 02 de ENERO
🇵🇪PERU VS ALEMANIA 🇩🇪
🕰️HORA: 1:00 PM
🟩KICK : ElZeein https://t.co/FJ6IDclTRx"
32,,2024-12-31 06:50:28+00:00,0,,"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!❤️🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions League:…"
33,,2024-12-31 06:49:58+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
34,,2024-12-31 06:49:31+00:00,0,,"@nuskita_love 🌟KINGS WORLD CUP
🏁FECHA : 02 de ENERO
🇵🇪PERU VS ALEMANIA 🇩🇪
🕰️HORA: 1:00 PM
🟩KICK : ElZeein https://t.co/sATEN3NY6v"
35,,2024-12-31 06:49:11+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
36,,2024-12-31 06:49:06+00:00,1,,"Who is the captain of the Pakistani cricket team that won the 1992 Cricket World Cup?

A) Imran Khan Pakistani Cricket Legend
B) Javed Miandad Pakistani Cricket Great
C) Wasim Akram Pakistani Cricket Icon
D) Inzamam-ul-Haq Pakistani Cricket Player https://t.co/yUphyuCxY7"
37,,2024-12-31 06:49:06+00:00,0,,"@nuskita_love 🌟KINGS WORLD CUP
🏁FECHA : 02 de ENERO
🇵🇪PERU VS ALEMANIA 🇩🇪
🕰️HORA: 1:00 PM
🟩KICK : ElZeein https://t.co/4nmVj35sgJ"
38,,2024-12-31 06:48:59+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
39,,2024-12-31 06:47:49+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
40,,2024-12-31 06:46:02+00:00,1,,"Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!❤️🏴󠁧󠁢󠁳󠁣󠁴󠁿
In the game for 3 decades, adapted every single time, never cried about missing players

🏆 Premier League: 13
🏆 Champions League: 2
🏆 FA Cup: 5
🏆 League Cup:4
🏆 Club World Cup:1

THE UNDISPUTED GOAT🐐 https://t.co/1j5DA7BmhC"
41,,2024-12-31 06:45:54+00:00,0,,"RT @DignitasFN: Lot of talk about Comp's Goats recently... it's time we celebrate the LION 🦁

🏆World Cup Champion
🥇3x FNCS Winner
💰$3,743,5…"
42,,2024-12-31 06:45:53+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
43,,2024-12-31 06:45:39+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
44,,2024-12-31 06:44:50+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
45,,2024-12-31 06:44:41+00:00,0,,"RT @TheRealPCB: Happy birthday @SyedaAroob 🎂

She has so far featured in 17 matches for the Pakistan women's team. She captained Pakistan i…"
46,,2024-12-31 06:44:20+00:00,0,,"RT @TheRealPCB: Happy birthday @SyedaAroob 🎂

She has so far featured in 17 matches for the Pakistan women's team. She captained Pakistan i…"
47,,2024-12-31 06:44:02+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
48,,2024-12-31 06:43:24+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
49,,2024-12-31 06:41:32+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
50,,2024-12-31 06:40:59+00:00,0,,"RT @Pun_Starr: Anyone who can answer these 3 questions correctly will get ₹15 lakh in 2025.

1. In which country is the Great Wall of China…"
51,,2024-12-31 06:40:39+00:00,26,,"Happy birthday @SyedaAroob 🎂

She has so far featured in 17 matches for the Pakistan women's team. She captained Pakistan in the inaugural ICC U19 Women's T20 World Cup 2023. https://t.co/HFZQo3JtfR"
52,,2024-12-31 06:40:17+00:00,0,,"RT @MadridUniversal: Winning the Club World Cup is one of Real Madrid's priority this season.

They see the tournament as a great opportuni…"
53,,2024-12-31 06:38:42+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
54,,2024-12-31 06:37:37+00:00,0,,"RT @MadridUniversal: Winning the Club World Cup is one of Real Madrid's priority this season.

They see the tournament as a great opportuni…"
55,,2024-12-31 06:37:21+00:00,0,,"@raj_praty @rajutrueindian @sherryontopp @patcummins30 @SunRisers Any thoughts about whether King Kohli should be dropped from the IPL for making physical contact during a test match? 

We will sit here with our WTC and World Cup and be happy"
56,,2024-12-31 06:37:11+00:00,0,,"RT @BarackObama: Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory."
57,,2024-12-31 06:36:24+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
58,,2024-12-31 06:35:30+00:00,0,,"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!❤️🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions League:…"
59,,2024-12-31 06:35:27+00:00,0,,"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!❤️🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions League:…"
60,,2024-12-31 06:35:04+00:00,0,,"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!❤️🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions League:…"
61,,2024-12-31 06:34:18+00:00,0,,"@wutube When South Africa complained about the system, nobody listened. It is so sad that this is what it took to wake the BCCI and Cricket Australia up. It's almost as tragic as India preparing a dodgy pitch for the World Cup final against AUS, only for it to backfire against them."
62,,2024-12-31 06:33:54+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
63,,2024-12-31 06:33:53+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
64,,2024-12-31 06:31:50+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
65,,2024-12-31 06:31:35+00:00,0,,"RT @TheBarmyArmy: - 12,972 runs in Tests
- Most runs for England in Tests
- 36 Test hundreds
- 50.87 Average in Tests
- 6,522 runs in ODIs…"
66,,2024-12-31 06:31:24+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
67,,2024-12-31 06:31:19+00:00,55,,"Winning the Club World Cup is one of Real Madrid's priority this season.

They see the tournament as a great opportunity to penetrate the USA market.

— @marca https://t.co/4ORmlk8qPv"
68,,2024-12-31 06:31:13+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
69,,2024-12-31 06:30:43+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
70,,2024-12-31 06:30:10+00:00,0,,"Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions League: 2
🏆 FA Cup: 5
🏆 League Cup: 4
🏆 Club World Cup: 1

The GOAT manager? 🐐 https://t.co/hhdI2HOGFQ"
71,,2024-12-31 06:30:00+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
72,,2024-12-31 06:29:45+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
73,,2024-12-31 06:29:41+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
74,,2024-12-31 06:28:32+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
75,,2024-12-31 06:28:10+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
76,,2024-12-31 06:27:21+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
77,,2024-12-31 06:26:26+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
78,,2024-12-31 06:26:12+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
79,,2024-12-31 06:25:53+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
80,,2024-12-31 06:25:39+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
81,,2024-12-31 06:25:35+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
82,,2024-12-31 06:25:32+00:00,0,,"Betting on the World Cup: Where your team either triumphs, or their defeat becomes your early Christmas gift to your bookie. Happy holidays, folks!"
83,,2024-12-31 06:25:30+00:00,0,,"RT @mohan_sharker: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions Le…"
84,,2024-12-31 06:25:27+00:00,0,,"RT @AmorimBalll_: Happy birthday to the GREATEST MANAGER of all time, Sir Alex Ferguson!❤️🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions League:…"
85,,2024-12-31 06:24:47+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
86,,2024-12-31 06:24:21+00:00,2,,"Happy Birthday to the greatest there ever was the greatest there ever is and the greatest there ever will be.

🏆 Premier League: 13
🏆 Champions League: 2
🏆 FA Cup: 5
🏆 League Cup: 4
🏆 Club World Cup: 1

Sir Alex Ferguson 🐐 https://t.co/YZwOA63VfK"
87,,2024-12-31 06:24:18+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
88,,2024-12-31 06:24:02+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
89,,2024-12-31 06:23:54+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
90,,2024-12-31 06:23:40+00:00,4,,"Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions League: 2
🏆 FA Cup: 5
🏆 League Cup: 4
🏆 Club World Cup: 1 https://t.co/gwGNutvLnh"
91,,2024-12-31 06:23:37+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
92,,2024-12-31 06:23:26+00:00,1,,"Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions League: 2
🏆 FA Cup: 5
🏆 League Cup: 4
🏆 Club World Cup: 1

The GOAT manager? 🐐

| Wizkid | #verydarkman | Asake | De Gea | George W. Bush | Osun | Monday is… https://t.co/iEbyNVDgam https://t.co/NQoG8XZ5Oc"
93,,2024-12-31 06:22:48+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
94,,2024-12-31 06:22:02+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
95,,2024-12-31 06:21:48+00:00,0,,"RT @ManUnitedZone_: Happy Birthday to Sir Alex Ferguson who turns 83 today! 🎉🔴

🏆 13 Premier League titles
🏆 2 Champions League titles
🏆 5…"
96,,2024-12-31 06:21:27+00:00,0,,"RT @Football__Tweet: Happy birthday to the one and only, Sir Alex Ferguson, who turns 83 today! 🎉🏴󠁧󠁢󠁳󠁣󠁴󠁿

🏆 Premier League: 13
🏆 Champions…"
97,,2024-12-31 06:20:52+00:00,0,,"RT @Pun_Starr: Anyone who can answer these 3 questions correctly will get ₹15 lakh in 2025.

1. In which country is the Great Wall of China…"
